Título,Assuntos,Pesquisador Responsável,Empresa,Grande Área do Conhecimento,Área do Conhecimento,Subárea do Conhecimento
Bioprocesso de produção de enzimas para biorrefinaria de biomassa: branqueamento de celulose,Compostos orgânicos:Enzimas:Propriedades químicas do papel:Branqueamento:Energia de biomassa,Álvaro de Baptista Neto,Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Engenharias,Engenharia Química,Processos Industriais de Engenharia Química
"Desenvolvimento, fabricação e comercialização de sondas cirúrgicas radioguiadas",Medicina nuclear:Neoplasias:Cirurgia:Detectores de radiação:Linfonodo sentinela,José Carlos Borges,MRA Indústria de Equipamentos Eletrônicos Ltda,Engenharias,Engenharia Biomédica,Não Informado
Sistema inteligente para classificação e identificação de veículos (SICIV),Visão computacional:Infravermelho:Sensores,Dalton Matsuo Tavares,Visionbr Tecnologia e Informática Ltda,Engenharias,Engenharia de Transportes,Veículos e Equipamentos de Controle
Escalonamento do processo de produção de vacina recombinante contra Rhodococcus equi,Equinos:Rhodococcus equi:Vacinas:Desenvolvimento de vacinas:Escalonamento de processos,Silvia Almeida Cardoso,Invent Biotecnologia Ltda. - ME,Ciências Agrárias,Medicina Veterinária,Medicina Veterinária Preventiva
Persozyme - enzimas personalizadas criadas por evolução dirigida para uso no biobranqueamento da polpa de celulose,Tecnologia de celulose e papel:Branqueamento:Bioquímica industrial:Biotecnologia:Enzimas,Marcos Roberto Lourenzoni,Verdartis Desenvolvimento Biotecnológico Ltda. - ME,Ciências Biológicas,Bioquímica,Química de Macromoléculas
Dispositivo para determinação do teor de etanol em gasolina e de água em álcool combustível,Etanol:Gasolina:Combustíveis:Controle da qualidade:Adulteração,Ivan Christensen Nali,Millbox Comércio e Montagens de Equipamentos de Eletrônica Ltda,Ciências Exatas e da Terra,Química,Química Analítica
Equipamento para revestimento de formas farmacêuticas: adequação e validação - fase I,Tecnologia farmacêutica:Cápsulas:Comprimidos:Leito fluidificado:Revestimentos:Validação,Mario Tsukada,Labmaq do Brasil Ltda,Ciências da Saúde,Farmácia,Farmacotecnia
Microencapsulamento de IgY e seu uso na inibição da adesão de Salmonella enterica Typhimurium,Bacteriologia:Enterobacteriaceae:Salmonella:Salmonella enterica:Antígenos de bactérias,Leandro Licursi de Oliveira,Invent Biotecnologia Ltda. - ME,Ciências Agrárias,Medicina Veterinária,Não Informado
Produção e purificação de anticorpos policlonais em escala piloto a partir de ovos de galinha,Imunologia veterinária:Genes de imunoglobulinas:Imunoglobulina Y:Anticorpos policlonais:Anticorpos:Aves,Sandro Gomes Soares,Invent Biotecnologia Ltda. - ME,Ciências Agrárias,Medicina Veterinária,Não Informado
ArcaMed: um arcabouço para construção de sistemas de apoio a diagnósticos médicos,Computação móvel:Hipermídia:Diagnóstico clínico,Diego Fiori de Carvalho,Innolution Sistemas de Informática Ltda,Ciências Exatas e da Terra,Ciência da Computação,Sistemas de Computação
Sistema hardware-software de realidade aumentada aplicada à educação,Educação:Eletrônica embarcada:Linguagem de programação:Processamento de imagens:Realidade aumentada,Mairum Ceoldo Andrade,Mairum Ceoldo Andrade - ME,Engenharias,Engenharia Elétrica,"Eletrônica Industrial, Sistemas e Controles Eletrônicos"
Linkdigger-*: serviços de criação de ligações entre informações disponibilizadas na web,Hipermídia:Multimídia:Recuperação da informação:Integração de tecnologias,José Antonio Camacho Guerrero,Innolution Sistemas de Informática Ltda,Ciências Exatas e da Terra,Ciência da Computação,Sistemas de Computação
Análise da biodiversidade de bactérias associadas à erliquiose canina na região de Ribeirão Preto,Animais domésticos:Biodiversidade:Ehrlichia canis:Erliquiose canina,Mozart de Azevedo Marins,Heranza Biotecnologia Ltda. - ME,Ciências Agrárias,Medicina Veterinária,Clínica e Cirurgia Animal
Desenvolvimento de sistema para controle de qualidade de sangue irradiado,Doença enxerto-hospedeiro:Controle da qualidade:Irradiação:Sangue:Linfócitos T,Evamberto Garcia de Góes,MRA Indústria de Equipamentos Eletrônicos Ltda,Engenharias,Engenharia Biomédica,Não Informado
Desenvolvimento e produção de bolsas para soluções parenterais,Medicamento:Anti-infecciosos:Antibacterianos:Infusões parenterais,José Carlos Pena Barbosa,Technobag Indústria de Artefatos Plásticos Ltda. - ME,Engenharias,Engenharia Mecânica,Não Informado
Desenvolvimento e construção de calibradores de dose utilizados em medicina nuclear,Medicina nuclear:Equipamentos e provisões hospitalares:Calibragem,Patrícia Nicolucci,MRA Indústria de Equipamentos Eletrônicos Ltda,Engenharias,Engenharia Biomédica,Engenharia Médica
"Capacitação da empresa para produção dos sistemas de monitores de radiação ionizante, em escala industrial e segundo os padrões de qualidade exigidos",Dosimetria:Proteção radiológica:Radiação ionizante:Monitoramento de radiação:Calibração:Controle da qualidade,Renato Glauco de Souza Rodrigues,MRA Indústria de Equipamentos Eletrônicos Ltda,Engenharias,Engenharia Biomédica,Engenharia Médica
Método de aumento da produtividade baseado na fixação do alelo G2 da região promotora do gen do hormônio de crescimento em bovinos de corte,Melhoramento genético animal:Bovinos de corte,Sergio Ulhoa Dani,Genética Molecular Pesquisa e Desenvolvimento Ltda (GENON),Ciências Biológicas,Genética,Genética Animal
Desenvolvimento de novas funcionalidades para o equipamento TopImplant,Equipamento odontológico:Implantodontia:Implantes osseointegrados:Linguagem de programação:Sistemas de informação:Protocolos de comunicação,Mario Alexandre Gazziro,Adiel Comercial Ltda,Engenharias,Engenharia Elétrica,"Eletrônica Industrial, Sistemas e Controles Eletrônicos"
Desenvolvimento de novas tecnologias para a multiplicação de banana em biorreatores de alto volume,Reatores químicos,Clemência Noriega Söndahl,Bionova Mudas e Plantas Ltda,Ciências Biológicas,Biologia Geral,Não Informado
Desenvolvimento de dosímetros termoluminescentes,Dosimetria,José Carlos Borges,MRA Indústria de Equipamentos Eletrônicos Ltda,Engenharias,Engenharia Biomédica,Não Informado
Desenvolvimento de sistema de monitores de radiação ionizante,Radiação ionizante,Renato Glauco de Souza Rodrigues,MRA Indústria de Equipamentos Eletrônicos Ltda,Engenharias,Engenharia Biomédica,Engenharia Médica
Aperfeicoamento do filtro vacuum press para industria de acucar e alcool.,Ensaios químicos:Usina açucareira,Pedro Gustavo Córdoba Junior,Technopulp Consultoria e Comércio de Equipamentos Industriais Ltda,Engenharias,Engenharia Química,Não Informado
